equipment_energy_consumption,lighting_energy,zone1_temperature,zone1_humidity,zone2_temperature,zone3_temperature,zone4_temperature,zone6_temperature,zone6_humidity,zone8_temperature,zone8_humidity,zone9_humidity,outdoor_temperature,atmospheric_pressure,outdoor_humidity,wind_speed,hour,random_variable
175.0,0.0,20.7,39.7966666666667,19.76,22.29,22.39,6.12666666666667,73.36,20.6333333333333,36.36,37.933333333333294,5.98333333333333,756.9166666666669,58.16666666666671,3.16666666666667,12,
175.0,0.0,20.9214285714286,38.884285714285696,19.65,22.6285714285714,19.1,7.39857142857143,69.3071428571429,20.1571428571429,38.2257142857143,29.934999999999995,7.483333333333332,739.1833333333329,,1.0,16,8.895748294889929
110.0,0.0,22.6,32.595,21.6,23.89,22.89,12.26,1.0,22.76,36.0,29.934999999999995,13.1333333333333,764.5499999999998,45.16666666666671,5.16666666666667,19,34.35534938471392
40.0,0.0,20.29,36.9666666666667,17.2,20.2,19.39,1.29,67.7966666666667,21.6,44.7,40.4,1.41666666666667,766.4333333333329,91.3333333333333,2.0,3,19.34251921484247
60.0,0.0,21.89,36.29,20.1,22.6666666666667,21.7,8.03333333333333,17.9,23.6333333333333,36.1633333333333,,6.93333333333333,757.2999999999998,69.3333333333333,,15,28.4385307575576
50.0,0.0,22.29,50.59166666666675,19.7,,21.0,6.8,58.7666666666667,23.7,46.0,41.03,6.3,754.2,,1.0,1,46.33299260167405
70.0,0.0,20.6,35.06,16.79,21.29,19.6,-0.2999999999999999,65.5266666666667,21.39,36.86,,0.0,766.0,123.08333333333326,2.0,8,34.13753273198381
175.0,0.0,22.7,44.79,22.1,,20.29,9.0,91.56333333333328,20.77,49.3694444444444,47.7,8.66666666666667,758.4333333333329,90.3333333333333,6.0,22,49.48529578978196
60.0,0.0,20.89,41.8266666666667,19.1,21.5,19.7,13.0,47.06,21.29,42.6266666666667,40.79,13.85,,73.5,7.0,0,11.875406524632126
110.0,0.0,21.3566666666667,45.29,20.73,21.5,21.89,11.93125,85.0475,21.6,51.5266666666667,47.0,11.4,755.9,89.3333333333333,,14,21.40419033821672
70.0,0.0,19.463333333333296,39.89,18.7,20.06666666666669,18.963333333333296,6.06666666666667,80.03,19.39,39.4,37.2666666666667,4.66666666666667,757.2999999999998,85.0,2.333333333333329,11,23.44973642611876
60.0,0.0,23.26,44.9666666666667,22.32333333333329,23.29,21.7,10.1,98.3966666666667,21.0277777777778,55.015,49.9666666666667,10.1,779.0000000000007,94.0,9.0,23,27.42860976140946
175.0,0.0,21.29,,20.5,22.2,20.0,,88.3666666666667,21.245,50.033888888888896,46.1425,5.16666666666667,734.266666666667,95.6666666666667,2.66666666666667,10,77.64475360017968
175.0,0.0,21.2,38.59,18.4266666666667,22.0,19.6,7.12666666666667,71.1933333333333,22.29,41.863333333333294,40.6266666666667,6.3,761.4333333333329,,3.0,8,
50.0,0.0,18.79,44.59,18.05,19.5,18.39,5.59,79.59333333333329,18.55,51.895,49.6,5.05,754.1,89.5,5.5,7,6.57211602665484
50.0,0.0,20.39,37.9,18.5571428571429,20.6,19.2,4.8875,81.87375,20.445,41.245,40.257142857142895,4.17142857142857,739.8047619047619,92.04761904761908,4.85714285714286,9,16.369358531665057
40.0,0.0,20.76,36.4,19.8566666666667,20.2,20.3266666666667,2.59,85.0,18.79,,44.1266666666667,3.2,753.45,81.0,9.5,9,1.4688582741655407
60.0,0.0,18.6,38.79,16.7,20.1,17.3933333333333,3.26,75.3666666666667,20.29,43.86,42.03,2.9,746.2,95.0,5.5,9,21.983676019590348
90.0,,22.1,41.7,,23.32333333333329,22.0,12.434,38.874,21.6,40.954285714285696,39.76,10.5,751.5499999999998,83.5,2.66666666666667,12,43.389988387934864
175.0,0.0,20.1333333333333,28.924999999999947,19.39,20.5,19.3,8.8,99.9,18.29,49.23,49.5,8.8,763.2,94.0,,8,49.59148986963555
170.0,0.0,23.2,38.9233333333333,24.074999999999996,22.9266666666667,22.2,16.1975,10.7675,24.0857142857143,,39.56,14.75,750.85,,5.5,18,24.62799760978669
60.0,0.0,21.89,44.5,20.5,23.1,21.1,13.4633333333333,49.1333333333333,23.9266666666667,51.4966666666667,,13.6,748.6,83.0,3.0,2,24.375695874914527
80.0,0.0,22.7,36.29,20.463333333333296,22.1,20.29,5.65666666666667,61.93,22.7,39.53,29.934999999999995,5.0,762.5,90.0,5.0,22,77.64475360017968
40.0,0.0,20.05,41.45,18.3566666666667,20.1,19.39,-5.19,86.5366666666667,20.4725,46.2175,40.7666666666667,-4.55,759.8333333333329,87.1666666666667,2.0,7,43.714149692095816
50.0,0.0,,,17.89,20.5,18.79,-0.6999999999999998,,20.963333333333296,,39.79,,779.0000000000007,80.0,6.0,7,1.929854147601873
50.0,0.0,19.29,,,19.89,18.79,5.4,89.8333333333333,18.7,54.00625,48.6566666666667,5.3,748.783333333333,39.75000000000005,8.0,1,42.02535160584375
175.0,0.0,22.7,37.5666666666667,24.074999999999996,23.56666666666669,23.39,19.875,1.0,23.0,41.4,40.5,15.6666666666667,754.7,60.33333333333329,2.333333333333329,9,32.84715472254902
50.0,0.0,22.39,36.79,,22.89,19.6,6.6233333333333295,52.1266666666667,21.7,47.3266666666667,40.03,6.6,756.6,96.0,,1,0.0666073756292462
60.0,0.0,22.6,43.7,,23.2,22.7,11.4633333333333,34.83,23.58,42.29,41.29,12.4666666666667,751.1,69.3333333333333,4.0,22,17.428106791339815
60.0,0.0,21.4266666666667,38.23,18.79,22.7,20.0,7.3,57.1,23.1,43.23,42.9,8.13333333333333,743.716666666667,80.3333333333333,10.0,4,
60.0,0.0,22.39,43.9,,24.7225,21.5,8.8,50.66,24.033333333333296,47.76,45.7,9.93333333333333,748.9,84.0,1.66666666666667,1,7.538039342034608
120.0,0.0,22.7,43.1633333333333,21.29,23.06666666666669,20.5,12.4333333333333,36.2666666666667,24.0,43.2,52.055,13.3,748.7999999999998,65.0,7.666666666666669,21,45.55396219948307
60.0,0.0,22.06666666666669,35.9666666666667,19.033333333333296,22.6,21.0,2.09,36.9966666666667,23.0,37.863333333333294,38.23,2.333333333333329,765.8333333333329,74.3333333333333,3.333333333333329,0,37.82991070766002
50.0,0.0,20.5,,18.5,20.79,20.2,-0.6999999999999998,82.25,21.29,43.29,41.1266666666667,-0.7,755.65,,1.0,5,27.86570969037712
110.0,0.0,23.5,39.09,21.5,23.5,21.1,8.5,42.393333333333295,23.32333333333329,36.433333333333294,37.933333333333294,8.5,744.0,72.0,5.0,20,36.67604981455952
50.0,0.0,21.2,36.2,17.73,21.39,20.79,2.9,74.18999999999998,21.89,38.26,38.0666666666667,2.3,763.5,99.5,3.0,8,34.02970799943432
40.0,0.0,22.5,40.29,21.6,20.79,20.23,2.09,94.5,20.2,48.89,47.09,2.1,761.7999999999998,39.75000000000005,5.0,2,42.87507685367017
30.0,0.0,21.2,38.9,18.79,22.033333333333296,20.1,7.3,56.89,21.6,39.5,37.59,7.06666666666667,758.733333333333,84.5,1.8333333333333297,4,45.11460701469332
